Kode kerusakan, Nama kerusakan
K001, Mesin banjir
K002, Spuyer pada karburator tersumbat atau kotor
K003, Kran bensin (fuel cock) tersumbat atau kotor
K004, Pengapian terganggu
K005, Motor starter tidak berputar
K006, Penyetelan putaran rendah pada karburator tidak tepat
K007, Hubungan kabel tegangan tinggi ke busi longgar
K008, Spuyer pada karburator kotor
K009, Penyetelan saat penyalaan (ignition timing) tidak tepat
K010, Terdapat mur dan baut yang kendor
K011, Rangkaian sistem penyalaan (ignition timing) kurang baik
K012, Aliran bensin tidak lancer
K013, Mesin terlalu panas
K014, Kopling slip dan rem menahan
K015, Tekanan kompresi mesin terlalu rendah
K016, Sistem bahan bakar rusak
K017, Sistem penyalaan (ignition timing) rusak
K018, Tekanan kompresi rendah
K019, Knalpot (muffler) tersumbat
K020, Pemakaian kendaraan tidak benar
K021, Gerak main (spelling) kabel kopling tidak cukup
K022, Plat geser (driving plate) aus atau terbakar
K023, Tangki kopling mempunyai gerak main berlebih
K024, Plat geser atau plat-plat kopling rusak
K025, Salah mengoperasikan pemindahan gigi
K026, Kopling tidak lepas seluruhnya
K027, Mekanisme pemindahan gigi rusak
K028, Bak persneling kurang oli
K029, Garpu pemindag gigi rusak
K030, Tuas rem macet
K031, Mur pengikat roda kendor
K032, Shock absorber rusak